booking_ref,notes1,notes2,notes3
4540421E,"Initials: MK Repeat Guest: no Context Of Stay: TA personal stay Group Make Up: 3 adults Any Concerns/Requirements/Requests: no Outlined Check-In/Check-Out time: yes Offered Flex Rate: yes Discount Note: Admin Fee Note: Homeowner Notes: JIRA: Welcome Message: Welcome to Ladbroke Grove XV!",NULL,NULL
E9386494,"Advisor Name: CA Repeat Guest?: NA Context Of Stay: Family leisure Group Make Up: 3 adults and 2 children (9,11) Any Concerns/Exceptions/Requirements/Request: NA Outlined Check-In/Check-Out time: Yes Offered Flex Rate: NA Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33040 Welcome Message: Welcome to Cornwall Gardens XXIII! We hope you'll have a lovely time during your stay with us.",NULL,NULL
78DB05F7,"Initials: KR Repeat Guest: No Context Of Stay: Family Leisure - American holiday Group Make Up: 2 Adults, 3 Children (ages 11, 9 and 5) Any Concerns/Requirements/Requests: Virtuoso benefit - luxury gift basket for Exclusive Collection. Please make up the trundle bed Outlined Check-In/Check-Out time: Yes Offered Flex Rate: No Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: N/A JIRA: No Welcome Message: Welcome to Cadogan Place IV! Wishing your family a very Happy holiday in London. Kim",NULL,NULL
BB-F5B12DB7,"NOTE FOR GREETER - CODES FOR GUESTS ARE THE FOLLOWING (PLEASE TEST BEFORE GUESTS ARRIVE)- Street level 39217- Apartment 99784 PLEASE ENSURE YOU SEND TEXT MAGIC TO GUEST WITH CODE AND ENSURE THEY PRACTICE USING ON BOTH STREET AND APARTMENT LEVEL. Initials: PC Repeat Guest: no Context Of Stay: guest attending school for political science Group Make Up: mother and daughter Any Concerns/Requirements/Requests: guests have agreed in written to no parties Outlined Check-In/Check-Out time: Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: approved JIRA: Welcome Message: Welcome to Stafford Terrace IV! We hope you enjoy your stay with us! - Paulina",NULL,NULL
F6332650,"Initials: PC Repeat Guest: Context Of Stay: family getaway Group Make Up: 2 adults and their two daughters Any Concerns/Requirements/Requests: Outlined Check-In/Check-Out time: yes, requested ECI Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: JIRA: Welcome Message: Welcome to Willes Road II! We hope you enjoy your stay with us! - Paulina",NULL,NULL
BB-BFAD5A47,"Initials: JB Repeat Guest: Yes Context Of Stay: Business Group Make Up: 1 adult Any Concerns/Requirements/Requests: No Outlined Check-In/Check-Out time: Yes Offered Flex Rate: N/A Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: HO approved Welcome Message: Welcome to St Anns Road! I hope you have a great time in London. Jack",NULL,NULL
87AAAZAD,"Advisor Name: AS | Online Booking Repeat Guest?: Yes Context Of Stay: I am in London for business meetings Group Make Up: 2 Adults Any Concerns/Exceptions/Requirements/Request: None Outlined Check-In/Check-Out time: TBC Offered Flex Rate: Not interested Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: - Welcome Message: Welcome to Pembridge Villas VI! Wishing you a lovely stay in London!",NULL,NULL
BB-E612F6DD,"Initials: MK Repeat Guest: no Context Of Stay: group leisure Group Make Up: 3 older couples Any Concerns/Requirements/Requests: one guest has bad knees Outlined Check-In/Check-Out time: yes Offered Flex Rate: yes Discount Note: NA Admin Fee Note: no Homeowner Notes: NA JIRA: Welcome Message: Welcome to Maddox Street II!",NULL,NULL
44015068,"Initials: PC Repeat Guest: Context Of Stay: going to shoot a film Group Make Up: 2 adults Any Concerns/Requirements/Requests: please go directly through Kelsey who is her agent's assistant Outlined Check-In/Check-Out time: Offered Flex Rate: no Discount Note: Admin Fee Note: Homeowner Notes: Monica approved JIRA: https://onefinestay.atlassian.net/browse/OFSLONFIN-32911 Welcome Message: Welcome to Keystone Crescent! We hope you enjoy your stay with us! - Paulina",NULL,NULL
BB-8E900488,"Initials: Charles A Repeat Guest: No Context Of Stay: Couple business/Leisure Group Make Up: 2 adults Any Concerns/Requirements/Requests: No Outlined Check-In/Check-Out time: Yes (Bag drop requested) Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33521 Welcome Message: Hi Aleksandr, Welcome to Oakley Street VII! Best, Charles",NULL,NULL
A758634B,"Advisor Name: CA Repeat Guest?: NA Context Of Stay: Visiting daughter in London Group Make Up: 3 adults Any Concerns/Exceptions/Requirements/Request: Might need luggage storage Outlined Check-In/Check-Out time: Yes Offered Flex Rate: Yes Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: - Welcome Message: Welcome to Cockspur Street! We hope you'll have a lovely time during your stay with us. - onefinestay",NULL,NULL
BB-5A19FA90,"Initials: KF Repeat guest: OTA Purpose of the stay: Leisure Group Make Up: 3 adults Any Concerns/Exceptions/Requirements/Request: N/A Offered Flex: OTA Discount Note: N/A Homeowner: N/A Notes: N/A Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33463 Welcome Message: Wishing you a lovely stay in your onefinestay home!",NULL,NULL
BB-A4FAC467,"Initials: KF Repeat guest: No Purpose of the stay: Leisure Group Make Up: 4 adults Any Concerns/Exceptions/Requirements/Request: Would need assistance with transfers and luggage Offered Flex: Yes Discount Note: N/A Homeowner: N/A Notes: N/A Jira: N/A Welcome Message: Wishing you a lovely stay at Petersham Mews II!",NULL,NULL
8810099,"Initials: CS Repeat Guest?: No Context Of Stay: business trip Group Make Up: 3 adults Any Concerns/Exceptions/Requirements/Request: Outlined Check-In/Check-Out time: Yes Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33470 Welcome Message: Welcome to St Stephen's Gardens VII! Enjoy your stay!",NULL,NULL
BB-DC23C24D,"Initials: JB Repeat Guest: Yes Context Of Stay: Business Group Make Up: 1 adult Any Concerns/Requirements/Requests: No Outlined Check-In/Check-Out time: Yes Offered Flex Rate: N/A Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: HO approved Welcome Message: Welcome to Lamont Road VI! I hope you have a great time in London. Jack",NULL,NULL
9E645FD7,"NOTE FOR GREETER - CODES FOR GUESTS ARE THE FOLLOWING (PLEASE TEST BEFORE GUESTS ARRIVE)- Street level 82908 (x 2 entry points)- Apartment 40205 PLEASE ENSURE YOU SEND TEXT MAGIC TO GUEST WITH CODE AND ENSURE THEY PRACTICE USING ON BOTH STREET AND APARTMENT LEVEL. Advisor Name: AS | Online Booking Repeat Guest?: No Context Of Stay: Touring local attractions, shopping, dining Group Make Up: 3 Adults Any Concerns/Exceptions/Requirements/Request: Possible bag-drop Outlined Check-In/Check-Out time: TBC Offered Flex Rate: Discount Note: NONE Admin Fee Note: NONE Homeowner Notes: None Jira: - Welcome Message: Welcome to Hanway Street! Wishing you a lovely stay in London!",NULL,NULL
BB-E47854BE,"Initials: PC Repeat Guest: Context Of Stay: family leisure Group Make Up: 4 (2 adults and 2 children age 2 and 4) Any Concerns/Requirements/Requests: Outlined Check-In/Check-Out time: yes Offered Flex Rate: Discount Note: Admin Fee Note: Homeowner Notes: Ben approved via email JIRA: Welcome Message: Welcome to Compton Street! We hope you enjoy your stay with us. - Paulina",NULL,NULL
BB-58566AF4,"Initials: KF Repeat Guest: No Purpose of the stay: Leisure Group Make Up: 2 adults Any Concerns/Exceptions/Requirements/Request: N/A Offered Flex: Yes-Ho approved Discount Note: N/A Homeowner: N/A Notes: N/A Jira: N/A Welcome Message: Wishing you a lovely stay at Ebury Street!",NULL,NULL
BB-45929692,"Advisor Name: Weekend Airbnb HMCFSPRFDE Repeat Guest?: No Context Of Stay: visiting from abroad Group Make Up: 2 Adults Any Concerns/Exceptions/Requirements/Request: None Outlined Check-In/Check-Out time: TBC Offered Flex Rate: No - OTA Booking Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33459 Welcome Message: Welcome to William Mews! Wishing you a lovely stay in London!",NULL,NULL
BB-060437DE,"Initials: KR for KF | T9ARZ5 Repeat Guest: No Context Of Stay: Leisure Group Make Up: 1 Adult Any Concerns/Requirements/Requests: No Outlined Check-In/Check-Out time: Yes Offered Flex Rate: N/A Discount Note: N/A Admin Fee Note: N/A Homeowner Notes: HO Approved LMB JIRA: https://onefinestay.atlassian.net/browse/OFSLONFIN-33528 Welcome Message: Welcome to Elvaston Place III! I hope you have a great time in London. Kimya",NULL,NULL
BB-89652061,"Advisor Name: AS | Airbnb HMY8HJK34Z Repeat Guest?: No Context Of Stay: visiting family in London Group Make Up: 2 Adults Any Concerns/Exceptions/Requirements/Request: None Outlined Check-In/Check-Out time: TBC Offered Flex Rate: No - OTA Booking Discount Note: None Admin Fee Note: None Homeowner Notes: None Jira: https://onefinestay.atlassian.net/browse/OFSLONFIN-33498 Welcome Message: Welcome to Cromwell Road II! Wishing you a lovely stay in London!",NULL,NULL
BB-19020800,"Initials: MK Repeat Guest: No Context Of Stay: couple leisure Group Make Up: 2 adults Any Concerns/Requirements/Requests: no Outlined Check-In/Check-Out time: yes Offered Flex Rate: yes Discount Note: no Admin Fee Note: no Homeowner Notes: accepted via email JIRA: Welcome Message: Welcome to Compton Street!",NULL,NULL

